Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b2.txt,2084.4564240790655,1185.9838274932615,521.1141060197664,386.3432165318958,3,0,2
0134.b2.txt,1746.166950596252,911.4139693356047,1158.4327086882454,664.3952299829642,3,0,1
0139.b2.txt,1540.1540154015404,1243.1243124312432,935.093509350935,462.046204620462,2,0,2
0140.b2.txt,1989.8989898989898,1010.10101010101,575.7575757575758,505.050505050505,3,0,6
0165.b2.txt,1867.739052725648,1027.7033065236817,777.479892761394,294.9061662198391,1,0,0
0200.b2.txt,1780.9523809523807,1142.857142857143,990.4761904761905,600.0,1,0,10
0300.b2.txt,1711.9565217391305,1322.463768115942,842.3913043478261,353.2608695652174,2,0,4
0308.b2.txt,1547.3251028806583,1004.1152263374485,905.3497942386832,658.4362139917696,1,0,4
0310.b2.txt,2328.907048008172,970.3779366700716,500.5107252298264,449.438202247191,5,0,1
0313.b2.txt,1534.847298355521,1049.3343774471416,830.0704776820673,454.1895066562255,7,1,5
1003.b2.txt,1787.1222076215506,1208.9356110381077,840.9986859395532,354.79632063074905,3,0,6
1006.b2.txt,1810.436634717785,1022.3642172523961,638.9776357827476,447.2843450479233,0,0,1
1006.b2i.txt,1810.436634717785,1022.3642172523961,638.9776357827476,447.2843450479233,0,0,1
1021.b2.txt,1972.9729729729731,1054.0540540540542,621.6216216216217,360.36036036036035,5,0,4
1023.b2.txt,1497.142857142857,960.0,720.0,468.57142857142856,3,1,6
1057.b2.txt,1753.5903250188965,1118.6696900982615,748.2993197278912,491.307634164777,2,0,1
1097.b2.txt,1716.867469879518,1016.566265060241,685.2409638554218,519.5783132530121,5,0,4
1100.b2.txt,1494.7856315179606,1100.811123986095,718.4241019698726,463.49942062572427,3,0,3
1104.b2.txt,1844.1814595660749,1074.9506903353056,562.1301775147929,493.0966469428008,1,0,2
1104.b2i.txt,1844.1814595660749,1074.9506903353056,562.1301775147929,493.0966469428008,1,0,2
1112.b2.txt,1825.3968253968253,952.3809523809523,619.047619047619,357.1428571428571,17,0,5
1508.b2.txt,1476.510067114094,1351.869606903164,594.4391179290509,316.3950143815916,4,0,1
1520.b2.txt,1727.8797996661103,1185.3088480801334,601.0016694490819,425.7095158597663,4,0,6
1528.b2.txt,1771.5827338129498,1061.1510791366907,818.3453237410073,287.7697841726619,4,0,2
1532.b2.txt,1476.0147601476015,996.309963099631,885.6088560885609,507.380073800738,8,1,7
1533.b2.txt,1780.721118469463,1214.1280353200882,699.0434142752024,323.7674760853569,7,0,4
1541.b2.txt,2038.0147835269272,865.8922914466737,887.0116156282999,612.4604012671595,2,0,0
2012.b2.txt,1871.5995647442874,870.5114254624592,772.5788900979326,217.6278563656148,2,0,1
2019.b2.txt,1625.916870415648,1173.5941320293398,782.3960880195599,586.7970660146699,1,0,1
2028.b2.txt,1929.8245614035086,1298.2456140350876,818.7134502923976,350.8771929824561,1,0,1
2028.b2i.txt,1884.3930635838149,1306.35838150289,809.2485549132948,346.8208092485549,1,0,1
2030.b2.txt,1580.8383233532936,1389.2215568862275,550.8982035928144,574.8502994011976,0,0,0
2032.b2.txt,1923.076923076923,1050.2958579881656,784.0236686390532,369.8224852071006,2,0,5
2034.b2.txt,1788.9908256880735,1039.755351681957,550.4587155963303,519.8776758409786,4,0,2
2066.b2.txt,2120.822622107969,1169.6658097686375,925.4498714652956,501.28534704370185,1,0,6
2070.b2.txt,1651.8298714144412,1177.0524233432245,731.948565776459,494.5598417408507,7,0,5
2070.b2i.txt,1646.9428007889546,1173.570019723866,729.7830374753452,493.0966469428008,7,0,4
3013.b2.txt,1592.279855247286,989.1435464414958,711.7008443908323,410.1326899879373,8,0,9
3020.b2.txt,1836.1303060217176,1105.6268509378085,552.8134254689043,246.79170779861798,2,1,2
3501.b2.txt,1733.0462863293862,882.6695371367061,656.6200215285253,279.8708288482239,4,1,8
3503.b2.txt,2100.456621004566,947.4885844748858,776.255707762557,353.88127853881275,5,1,3
3504.b2.txt,1936.7209971236819,1102.588686481304,671.1409395973154,316.3950143815916,7,0,2
3505.b2.txt,1847.8260869565215,1184.7826086956522,771.7391304347826,391.304347826087,3,0,4
3506.b2.txt,1808.2788671023964,1078.4313725490197,577.3420479302832,435.7298474945534,3,0,2
3507.b2.txt,1684.7372810675563,992.4937447873227,950.7923269391159,366.9724770642202,5,0,2
3508.b2.txt,2006.5789473684213,1101.9736842105262,838.8157894736842,345.3947368421053,3,0,2
3509.b2.txt,1879.4688457609807,1092.9519918283963,745.6588355464761,500.5107252298264,4,0,6
3511.b2.txt,1939.6157365050321,1116.1939615736505,567.2461116193962,402.56175663311984,3,0,4
3518.b2.txt,1307.4565883554649,1256.3840653728296,582.226762002043,306.4351378958121,8,1,6
3519.b2.txt,1639.194139194139,1217.948717948718,686.8131868131869,384.61538461538464,6,0,0
3520.b2.txt,1988.817891373802,1094.2492012779553,686.9009584664537,351.4376996805112,5,0,2
3522.b2.txt,1936.7088607594937,1075.9493670886077,784.8101265822785,544.3037974683544,5,0,1
3523.b2.txt,2243.9893143365985,1211.0418521816562,712.3775601068565,347.2840605520926,4,0,3
3525.b2.txt,1817.116060961313,1090.2696365767877,808.9097303634233,410.31652989449003,5,0,4
4012.b2.txt,1978.5575048732942,1072.1247563352827,604.2884990253411,467.8362573099415,0,0,1
4036.b2.txt,1652.892561983471,991.7355371900827,789.7153351698806,440.77134986225894,11,1,9
4038.b2.txt,1985.2164730728616,1330.5174234424499,538.5427666314678,517.4234424498416,2,0,1
